PLAYER_ID,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,PLAYER_NAME,FGA,FG3A,FTA,PTS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,FTA/FGA,PPS
1629675,1.8,2.8,0.659,1.2,2.6,0.438,0.2,0.4,0.429,0.3,0.8,0.397,0.2,0.6,0.354,1.7,4.4,0.381,0,0,0,Naz Reid,11.5,5.8,1.8,14.2,0.21,0.577,0.556,116.2,0.156521739,1.234782609
1631096,2.8,3.8,0.721,0.8,2.4,0.355,0.3,0.8,0.296,0.2,0.4,0.462,0.1,0.2,0.429,1.1,3,0.368,0,0,0,Chet Holmgren,10.7,3.6,4.2,15,0.214,0.599,0.554,121.7,0.392523364,1.401869159
1642272,1.8,3,0.586,1.1,2.3,0.472,0.4,0.8,0.5,0.2,0.8,0.294,0.2,0.6,0.385,1.8,4.5,0.398,0,0,0,Jared McCain,11.9,5.8,2.4,15.3,0.243,0.589,0.553,109.3,0.201680672,1.285714286
1641739,2,3.3,0.624,0.4,1.3,0.343,0,0,0,0.4,1,0.359,0.4,1.1,0.349,1,2.5,0.394,0,0,0,Toumani Camara,9.2,4.6,1.6,11.3,0.143,0.572,0.552,111.5,0.173913043,1.22826087
1628973,2.2,3.5,0.642,2.9,5.4,0.531,1.6,3.5,0.449,0.1,0.4,0.28,0.3,0.5,0.5,2,5.2,0.379,0,0,0,Jalen Brunson,18.5,6.1,6.9,26,0.289,0.605,0.551,118.3,0.372972973,1.405405405
1630230,2.1,3,0.708,1.9,3.6,0.535,0.3,0.6,0.575,0.3,0.9,0.362,0.1,0.7,0.208,0.4,1.5,0.279,0,0.1,0,Naji Marshall,10.3,3.2,2.3,13.2,0.197,0.584,0.551,111.5,0.223300971,1.281553398
1630166,3,4.5,0.651,0.7,2,0.359,0.2,0.4,0.4,0.1,0.4,0.323,0.2,0.5,0.297,1.4,3.8,0.381,0,0,0,Deni Avdija,11.7,4.8,5.2,16.9,0.228,0.605,0.55,113.6,0.444444444,1.444444444
1629632,2.5,3.9,0.64,1,2.1,0.459,0.5,1.2,0.385,0.3,0.7,0.426,0.1,0.4,0.296,2.5,6.7,0.374,0,0.1,0,Coby White,15.1,7.9,4.1,20.4,0.237,0.601,0.55,111.5,0.271523179,1.350993377
1631232,1.7,2.4,0.727,0.5,1.8,0.28,0.6,0.6,1,0.3,0.9,0.333,0.2,0.4,0.6,0.5,1.9,0.269,0,0,0,Keion Brooks Jr.,7.8,3.1,2.1,10.1,0.169,0.581,0.55,100.7,0.269230769,1.294871795
1629684,1.1,1.5,0.708,0.4,0.9,0.4,0.3,0.6,0.4,0.2,0.5,0.375,0.1,0.5,0.25,1.4,3.6,0.379,0,0,0,Grant Williams,7.7,4.6,2.3,10.4,0.146,0.596,0.549,114.9,0.298701299,1.350649351
